****Header****
date 01/15/25 03:00:40
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2112
Emissivity:	   1.0000
FF:	   0.8019
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5180
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9293
Iref1:	  13.6107
Iref2:	N/A
Isc:	  13.6072
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:00:40.208000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:00:40.418000
Pmax:	 544.2875
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1797.0000
Rs:	   0.2672
Rsh:  524.4636
Snr: A8C7A01
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  26.3311
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.8803
Vpmax:	  42.0973
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: a85f10ac-7230-4673-a2c1-44c8e2c59cc3

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.9833,-1.3617,1000.1648,13.9732,-1.1670,1000.1648
0.0015,-5.4678,13.9892,-1.3828,1000.2819,13.9775,-1.1877,1000.2819
0.0015,-5.3168,13.9853,-1.3617,1000.3404,13.9728,-1.1662,1000.3404
0.0015,-5.1658,13.9853,-1.3617,1000.2234,13.9744,-1.1667,1000.2234
0.0015,-5.0148,13.9853,-1.3722,999.9893,13.9776,-1.1783,999.9893
0.0015,-4.8638,13.9833,-1.3617,999.9308,13.9764,-1.1679,999.9308
0.0015,-4.7128,13.9676,-1.3405,999.8723,13.9615,-1.1478,999.8723
0.0015,-4.5618,13.9342,-1.3089,999.8138,13.9288,-1.1183,999.8138
0.0015,-4.4108,13.8850,-1.2666,999.7553,13.8805,-1.0792,999.7553
0.0015,-4.2598,13.8202,-1.2455,1000.1063,13.8109,-1.0615,1000.1063
0.0015,-4.1087,13.7435,-1.2033,999.8723,13.7374,-1.0253,999.8723
0.0016,-3.9577,13.6649,-1.1188,999.6968,13.6612,-0.9459,999.6968
0.0016,-3.8067,13.6099,-0.9604,999.6968,13.6061,-0.7884,999.6968
0.0016,-3.6557,13.6020,-0.7598,999.6383,13.5991,-0.5843,999.6383
0.0016,-3.5047,13.6138,-0.6225,999.7553,13.6093,-0.4428,999.7553
0.0016,-3.3537,13.6099,-0.5063,999.6383,13.6069,-0.3249,999.6383
0.0016,-3.2027,13.6079,-0.3374,999.6383,13.6050,-0.1524,999.6383
0.0016,-3.0517,13.6040,-0.2318,999.5798,13.6018,-0.0451,999.5798
0.0016,-2.9007,13.6138,-0.0945,999.5213,13.6125,0.0957,999.5213
0.0016,-2.7497,13.6118,0.0639,999.5798,13.6097,0.2575,999.5798
0.0016,-2.5986,13.6138,0.2434,999.5213,13.6125,0.4408,999.5213
0.0016,-2.4476,13.6079,0.3913,999.5213,13.6066,0.5913,999.5213
0.0016,-2.2966,13.6040,0.4969,999.5798,13.6018,0.6991,999.5798
0.0016,-2.1456,13.6099,0.6658,999.4042,13.6101,0.8715,999.4042
0.0016,-1.9946,13.6059,0.8348,999.2287,13.6086,1.0431,999.2287
0.0016,-1.8436,13.6059,0.9826,999.5213,13.6046,1.1952,999.5213
0.0016,-1.6926,13.6079,1.1199,999.4627,13.6074,1.3353,999.4627
0.0016,-1.5416,13.6099,1.2889,999.6968,13.6061,1.5089,999.6968
0.0016,-1.3906,13.6099,1.4367,999.3457,13.6109,1.6586,999.3457
0.0016,-1.2396,13.6059,1.5845,999.3457,13.6070,1.8093,999.3457
0.0016,-1.0885,13.6059,1.7641,999.2287,13.6086,1.9922,999.2287
0.0017,-0.9375,13.6040,1.9013,999.2872,13.6058,2.1325,999.2872
0.0017,-0.7865,13.6040,2.0703,999.3457,13.6050,2.3053,999.3457
0.0017,-0.6355,13.6099,2.2287,999.5798,13.6077,2.4684,999.5798
0.0017,-0.4845,13.6079,2.3765,999.5798,13.6058,2.6192,999.5798
0.0017,-0.3335,13.6079,2.5244,999.4042,13.6082,2.7696,999.4042
0.0017,-0.1825,13.6118,2.6828,999.5213,13.6105,2.9321,999.5213
0.0017,-0.0315,13.6059,2.8306,999.4627,13.6054,3.0824,999.4627
0.0017,0.1195,13.6118,2.9890,999.4042,13.6121,3.2445,999.4042
0.0017,0.2705,13.6099,3.1474,999.5798,13.6077,3.4067,999.5798
0.0017,0.4216,13.6099,3.3375,999.6383,13.6069,3.6011,999.6383
0.0017,0.5726,13.6099,3.4748,999.4627,13.6093,3.7407,999.4627
0.0017,0.7236,13.6040,3.6226,999.5213,13.6026,3.8914,999.5213
0.0017,0.8746,13.6118,3.7704,999.7553,13.6073,4.0439,999.7553
0.0017,1.0256,13.6059,3.9288,999.6968,13.6022,4.2050,999.6968
0.0017,1.1766,13.6040,4.0872,999.8723,13.5979,4.3672,999.8723
0.0017,1.3276,13.6020,4.2667,999.7553,13.5975,4.5500,999.7553
0.0017,1.4786,13.6040,4.3829,1000.1063,13.5947,4.6701,1000.1063
0.0017,1.6296,13.6059,4.5307,1000.0478,13.5974,4.8210,1000.0478
0.0017,1.7806,13.6059,4.6997,999.8138,13.6006,4.9928,999.8138
0.0018,1.9316,13.6040,4.8475,999.8723,13.5979,5.1438,999.8723
0.0018,2.0827,13.5981,5.0271,999.8723,13.5920,5.3267,999.8723
0.0018,2.2337,13.6059,5.1855,1000.1063,13.5966,5.4899,1000.1063
0.0018,2.3847,13.6079,5.3122,1000.0478,13.5994,5.6193,1000.0478
0.0018,2.5357,13.6059,5.4706,999.9308,13.5990,5.7805,999.9308
0.0018,2.6867,13.6040,5.6501,1000.1063,13.5947,5.9644,1000.1063
0.0018,2.8377,13.6040,5.7979,1000.1648,13.5939,6.1156,1000.1648
0.0018,2.9887,13.5961,5.9458,1000.2819,13.5844,6.2664,1000.2819
0.0018,3.1397,13.5981,6.0936,1000.3989,13.5848,6.4179,1000.3989
0.0018,3.2907,13.6000,6.2309,1000.2234,13.5891,6.5577,1000.2234
0.0018,3.4417,13.6020,6.3998,1000.2819,13.5903,6.7306,1000.2819
0.0018,3.5928,13.6040,6.5794,1000.1063,13.5947,6.9135,1000.1063
0.0018,3.7438,13.6040,6.7061,1000.3989,13.5907,7.0440,1000.3989
0.0018,3.8948,13.5981,6.8856,1000.1648,13.5880,7.2260,1000.1648
0.0018,4.0458,13.6020,7.0334,1000.1648,13.5919,7.3773,1000.1648
0.0018,4.1968,13.6059,7.1707,1000.2819,13.5942,7.5183,1000.2819
0.0018,4.3478,13.6000,7.3291,1000.6329,13.5836,7.6809,1000.6329
0.0018,4.4988,13.6020,7.4769,1000.4574,13.5879,7.8314,1000.4574
0.0018,4.6498,13.6020,7.6459,1000.5744,13.5863,8.0044,1000.5744
0.0018,4.8008,13.6000,7.7726,1000.5744,13.5844,8.1336,1000.5744
0.0019,4.9518,13.5981,7.9521,1000.5744,13.5824,8.3168,1000.5744
0.0019,5.1029,13.6040,8.0894,1000.3989,13.5907,8.4569,1000.3989
0.0019,5.2539,13.6040,8.2584,1000.5159,13.5891,8.6299,1000.5159
0.0019,5.4049,13.5961,8.3957,1000.6329,13.5796,8.7699,1000.6329
0.0019,5.5559,13.6000,8.5646,1000.5159,13.5852,8.9423,1000.5159
0.0019,5.7069,13.5961,8.7336,1000.6329,13.5796,9.1150,1000.6329
0.0019,5.8579,13.5961,8.8814,1000.6329,13.5796,9.2660,1000.6329
0.0019,6.0089,13.6020,9.0398,1000.5159,13.5871,9.4278,1000.5159
0.0019,6.1599,13.6000,9.1665,1000.6329,13.5836,9.5575,1000.6329
0.0019,6.3109,13.5981,9.3355,1000.7499,13.5800,9.7304,1000.7499
0.0019,6.4619,13.5941,9.4939,1000.4574,13.5801,9.8908,1000.4574
0.0019,6.6130,13.5941,9.6523,1000.3404,13.5817,10.0522,1000.3404
0.0019,6.7640,13.5981,9.8001,1000.5744,13.5824,10.2043,1000.5744
0.0019,6.9150,13.5961,9.9585,1000.5159,13.5812,10.3657,1000.5159
0.0019,7.0660,13.5941,10.1169,1000.6329,13.5777,10.5278,1000.6329
0.0019,7.2170,13.5961,10.2542,1000.4574,13.5820,10.6675,1000.4574
0.0019,7.3680,13.5981,10.4232,1000.2819,13.5864,10.8396,1000.2819
0.0019,7.5190,13.5981,10.5710,1000.6329,13.5816,10.9919,1000.6329
0.0019,7.6700,13.5922,10.7399,1000.4574,13.5781,11.1633,1000.4574
0.0019,7.8210,13.5961,10.8983,1000.2819,13.5844,11.3248,1000.2819
0.0019,7.9720,13.5922,11.0251,1000.3404,13.5797,11.4541,1000.3404
0.0020,8.1230,13.5922,11.1835,1000.3989,13.5789,11.6161,1000.3989
0.0020,8.2741,13.5922,11.3524,1000.2819,13.5805,11.7883,1000.2819
0.0020,8.4251,13.5941,11.4897,1000.2234,13.5833,11.9284,1000.2234
0.0020,8.5761,13.6000,11.6692,1000.2234,13.5891,12.1122,1000.2234
0.0020,8.7271,13.5961,11.8065,1000.3404,13.5836,12.2526,1000.3404
0.0020,8.8781,13.5922,11.9755,1000.1063,13.5829,12.4240,1000.1063
0.0020,9.0291,13.5883,12.1233,1000.0478,13.5797,12.5745,1000.0478
0.0020,9.1801,13.5922,12.2817,1000.1648,13.5821,12.7370,1000.1648
0.0020,9.3311,13.5883,12.4295,1000.0478,13.5797,12.8872,1000.0478
0.0020,9.4821,13.5883,12.5879,1000.2234,13.5774,13.0497,1000.2234
0.0020,9.6331,13.5883,12.7358,1000.0478,13.5797,13.2000,1000.0478
0.0020,9.7842,13.5883,12.8836,999.9893,13.5805,13.3508,999.9893
0.0020,9.9352,13.5883,13.0526,999.9893,13.5805,13.5234,999.9893
0.0020,10.0862,13.5883,13.1898,999.9893,13.5805,13.6636,999.9893
0.0020,10.2372,13.5843,13.3482,999.9893,13.5766,13.8251,999.9893
0.0020,10.3882,13.5883,13.5066,999.9893,13.5805,13.9871,999.9893
0.0020,10.5392,13.5863,13.6545,1000.1063,13.5770,14.1384,1000.1063
0.0020,10.6902,13.5883,13.8234,999.8723,13.5821,14.3103,999.8723
0.0020,10.8412,13.5883,13.9713,1000.0478,13.5797,14.4619,1000.0478
0.0021,10.9922,13.5863,14.1297,999.9308,13.5794,14.6231,999.9308
0.0021,11.1432,13.5902,14.2775,999.8138,13.5849,14.7740,999.8138
0.0021,11.2943,13.5883,14.4465,999.6968,13.5845,14.9460,999.6968
0.0021,11.4453,13.5883,14.5837,999.9308,13.5813,15.0871,999.9308
0.0021,11.5963,13.5922,14.7316,999.8138,13.5869,15.2380,999.8138
0.0021,11.7473,13.5883,14.9005,999.8723,13.5821,15.4104,999.8723
0.0021,11.8983,13.5863,15.0484,999.8138,13.5810,15.5611,999.8138
0.0021,12.0493,13.5863,15.2068,999.9893,13.5786,15.7235,999.9893
0.0021,12.2003,13.5824,15.3441,999.8138,13.5770,15.8627,999.8138
0.0021,12.3513,13.5843,15.5236,999.7553,13.5798,16.0460,999.7553
0.0021,12.5023,13.5863,15.6714,999.8138,13.5810,16.1974,999.8138
0.0021,12.6533,13.5883,15.8404,999.9893,13.5805,16.3708,999.9893
0.0021,12.8044,13.5902,15.9882,999.9893,13.5825,16.5219,999.9893
0.0021,12.9554,13.5863,16.1255,999.9308,13.5794,16.6616,999.9308
0.0021,13.1064,13.5883,16.3050,999.8723,13.5821,16.8449,999.8723
0.0021,13.2574,13.5883,16.4528,999.9308,13.5813,16.9961,999.9308
0.0021,13.4084,13.5863,16.5901,1000.1063,13.5770,17.1368,1000.1063
0.0021,13.5594,13.5883,16.7485,999.8723,13.5821,17.2979,999.8723
0.0021,13.7104,13.5843,16.9280,1000.1063,13.5750,17.4818,1000.1063
0.0021,13.8614,13.5863,17.0864,1000.1648,13.5762,17.6439,1000.1648
0.0022,14.0124,13.5824,17.2237,1000.0478,13.5739,17.7834,1000.0478
0.0022,14.1634,13.5863,17.3716,999.9308,13.5794,17.9343,999.9308
0.0022,14.3144,13.5804,17.5405,999.6968,13.5767,18.1056,999.6968
