****Header****
date 01/15/25 03:03:53
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2098
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5107
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9025
Iref1:	  13.5782
Iref2:	N/A
Isc:	  13.5792
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:03:53.678000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:03:53.877000
Pmax:	 540.5840
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1792.0000
Rs:	   0.2799
Rsh:  582.0489
Snr: A8C7A02
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.9966
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9240
Vpmax:	  41.8977
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 7a6a6e3d-4c26-44f3-aec8-d61bb2f08982

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.6118,-1.4250,999.9893,13.6061,-1.3080,999.9893
0.0015,-5.4678,13.6099,-1.4250,999.8723,13.6057,-1.3086,999.8723
0.0015,-5.3168,13.6118,-1.4461,1000.1648,13.6037,-1.3289,1000.1648
0.0015,-5.1658,13.6099,-1.4356,1000.0478,13.6033,-1.3187,1000.0478
0.0015,-5.0148,13.6099,-1.4356,1000.0478,13.6033,-1.3187,1000.0478
0.0015,-4.8638,13.6118,-1.4250,1000.1648,13.6037,-1.3073,1000.1648
0.0015,-4.7128,13.6020,-1.3722,1000.1648,13.5939,-1.2542,1000.1648
0.0015,-4.5618,13.5941,-1.3300,1000.0478,13.5876,-1.2121,1000.0478
0.0015,-4.4108,13.5941,-1.2666,1000.1063,13.5868,-1.1472,1000.1063
0.0015,-4.2598,13.5922,-1.1927,1000.3989,13.5809,-1.0707,1000.3989
0.0015,-4.1087,13.5863,-1.0554,1000.2819,13.5766,-0.9314,1000.2819
0.0016,-3.9577,13.5922,-0.9393,1000.2234,13.5833,-0.8126,1000.2234
0.0016,-3.8067,13.5941,-0.8548,1000.3989,13.5828,-0.7255,1000.3989
0.0016,-3.6557,13.5922,-0.7281,999.8723,13.5880,-0.5982,999.8723
0.0016,-3.5047,13.5902,-0.6119,1000.0478,13.5837,-0.4790,1000.0478
0.0016,-3.3537,13.5922,-0.4852,1000.3404,13.5817,-0.3484,1000.3404
0.0016,-3.2027,13.5863,-0.3479,1000.1648,13.5782,-0.2093,1000.1648
0.0016,-3.0517,13.5843,-0.2106,1000.1648,13.5762,-0.0692,1000.1648
0.0016,-2.9007,13.5824,-0.0839,1000.2819,13.5726,0.0605,1000.2819
0.0016,-2.7497,13.5804,0.0745,1000.1648,13.5723,0.2216,1000.1648
0.0016,-2.5986,13.5863,0.2434,1000.2234,13.5774,0.3949,1000.2234
0.0016,-2.4476,13.5883,0.3702,1000.1063,13.5809,0.5240,1000.1063
0.0016,-2.2966,13.5843,0.5074,1000.1648,13.5762,0.6641,1000.1648
0.0016,-2.1456,13.5784,0.6764,1000.0478,13.5719,0.8358,1000.0478
0.0016,-1.9946,13.5824,0.8348,1000.2234,13.5734,0.9985,1000.2234
0.0016,-1.8436,13.5784,0.9826,1000.2234,13.5695,1.1492,1000.2234
0.0016,-1.6926,13.5784,1.1410,1000.0478,13.5719,1.3103,1000.0478
0.0016,-1.5416,13.5824,1.2783,1000.2234,13.5734,1.4515,1000.2234
0.0016,-1.3906,13.5765,1.4473,1000.1063,13.5691,1.6231,1000.1063
0.0016,-1.2396,13.5765,1.6057,1000.1648,13.5683,1.7851,1000.1648
0.0016,-1.0885,13.5824,1.7429,1000.0478,13.5758,1.9254,1000.0478
0.0017,-0.9375,13.5765,1.9119,1000.1063,13.5691,2.0977,1000.1063
0.0017,-0.7865,13.5804,2.0809,1000.1063,13.5731,2.2706,1000.1063
0.0017,-0.6355,13.5804,2.2287,1000.1063,13.5731,2.4215,1000.1063
0.0017,-0.4845,13.5784,2.3765,999.9308,13.5735,2.5717,999.9308
0.0017,-0.3335,13.5784,2.5349,1000.1063,13.5711,2.7341,1000.1063
0.0017,-0.1825,13.5784,2.6933,999.7553,13.5759,2.8946,999.7553
0.0017,-0.0315,13.5745,2.8517,999.6383,13.5735,3.0556,999.6383
0.0017,0.1195,13.5804,2.9996,999.6968,13.5786,3.2073,999.6968
0.0017,0.2705,13.5784,3.1685,999.6383,13.5775,3.3795,999.6383
