****Header****
date 01/15/25 03:30:16
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2129
Emissivity:	   1.0000
FF:	   0.8071
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5280
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9602
Iref1:	  13.5819
Iref2:	N/A
Isc:	  13.5801
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0011
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:30:16.742000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:30:16.969000
Pmax:	 548.6479
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1764.0000
Rs:	   0.2579
Rsh:  649.5431
Snr: A8C7A0B
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.4354
TempMC:	  24.5715
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.0582
Vpmax:	  42.3333
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 523c2781-5fb1-439d-9ef6-5fc327a3e6fb

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.9381,-1.3617,999.3457,13.9503,-1.4465,999.3457
0.0015,-5.4678,13.9401,-1.3617,999.4042,13.9515,-1.4462,999.4042
0.0015,-5.3168,13.9420,-1.3722,999.5798,13.9511,-1.4562,999.5798
0.0015,-5.1658,13.9381,-1.3722,999.4627,13.9487,-1.4569,999.4627
0.0015,-5.0148,13.9420,-1.3828,999.3457,13.9542,-1.4678,999.3457
0.0015,-4.8638,13.9361,-1.3722,999.1117,13.9515,-1.4583,999.1117
0.0015,-4.7128,13.9165,-1.3405,999.2287,13.9303,-1.4271,999.2287
0.0015,-4.5618,13.8909,-1.3405,999.5213,13.9008,-1.4281,999.5213
0.0015,-4.4108,13.8418,-1.2877,999.7553,13.8484,-1.3772,999.7553
0.0015,-4.2598,13.7809,-1.2455,999.8138,13.7867,-1.3387,999.8138
0.0015,-4.1087,13.7003,-1.2138,999.8138,13.7061,-1.3127,999.8138
0.0016,-3.9577,13.6177,-1.1082,999.8138,13.6236,-1.2114,999.8138
0.0016,-3.8067,13.5706,-0.9710,999.8138,13.5764,-1.0750,999.8138
0.0016,-3.6557,13.5706,-0.7598,999.8138,13.5764,-0.8593,999.8138
0.0016,-3.5047,13.5804,-0.6225,999.8723,13.5855,-0.7181,999.8723
0.0016,-3.3537,13.5804,-0.4746,1000.0478,13.5831,-0.5665,1000.0478
0.0016,-3.2027,13.5843,-0.3690,999.9893,13.5878,-0.4586,999.9893
0.0016,-3.0517,13.5843,-0.2212,1000.0478,13.5870,-0.3074,1000.0478
0.0016,-2.9007,13.5804,-0.0734,999.9308,13.5847,-0.1571,999.9308
0.0016,-2.7497,13.5843,0.0745,999.8723,13.5894,-0.0060,999.8723
0.0016,-2.5986,13.5824,0.2012,1000.1063,13.5842,0.1240,1000.1063
0.0016,-2.4476,13.5804,0.3702,999.9893,13.5839,0.2960,999.9893
0.0016,-2.2966,13.5784,0.5286,1000.1648,13.5795,0.4582,1000.1648
0.0016,-2.1456,13.5686,0.6553,999.9893,13.5721,0.5863,999.9893
0.0016,-1.9946,13.5745,0.8137,999.9893,13.5780,0.7485,999.9893
0.0016,-1.8436,13.5745,0.9826,1000.1063,13.5764,0.9215,1000.1063
0.0016,-1.6926,13.5725,1.1199,1000.1648,13.5736,1.0617,1000.1648
0.0016,-1.5416,13.5745,1.2677,1000.0478,13.5772,1.2124,1000.0478
0.0016,-1.3906,13.5765,1.4261,1000.1063,13.5783,1.3745,1000.1063
0.0016,-1.2396,13.5745,1.5845,1000.0478,13.5772,1.5360,1000.0478
0.0016,-1.0885,13.5686,1.7535,999.9893,13.5721,1.7078,999.9893
0.0017,-0.9375,13.5706,1.9013,1000.1648,13.5717,1.8596,1000.1648
0.0017,-0.7865,13.5725,2.0386,1000.1063,13.5744,1.9997,1000.1063
0.0017,-0.6355,13.5666,2.1970,1000.1648,13.5677,2.1612,1000.1648
0.0017,-0.4845,13.5725,2.3448,1000.2234,13.5728,2.3129,1000.2234
0.0017,-0.3335,13.5725,2.5138,1000.2234,13.5728,2.4854,1000.2234
0.0017,-0.1825,13.5745,2.6828,1000.1063,13.5764,2.6577,1000.1063
0.0017,-0.0315,13.5686,2.8200,1000.2234,13.5689,2.7979,1000.2234
0.0017,0.1195,13.5686,2.9784,1000.0478,13.5713,2.9590,1000.0478
0.0017,0.2705,13.5666,3.1368,1000.2234,13.5669,3.1212,1000.2234
0.0017,0.4216,13.5706,3.3058,1000.1063,13.5725,3.2937,1000.1063
0.0017,0.5726,13.5686,3.4536,1000.2234,13.5689,3.4449,1000.2234
0.0017,0.7236,13.5686,3.6015,1000.2234,13.5689,3.5959,1000.2234
0.0017,0.8746,13.5706,3.7810,1000.1063,13.5725,3.7790,1000.1063
0.0017,1.0256,13.5706,3.9288,1000.1063,13.5725,3.9300,1000.1063
0.0017,1.1766,13.5686,4.0555,1000.0478,13.5713,4.0590,1000.0478
0.0017,1.3276,13.5686,4.2245,1000.1063,13.5705,4.2318,1000.1063
0.0017,1.4786,13.5706,4.4040,1000.1648,13.5717,4.4155,1000.1648
0.0017,1.6296,13.5706,4.5624,1000.1648,13.5717,4.5772,1000.1648
0.0017,1.7806,13.5706,4.6891,1000.1648,13.5717,4.7066,1000.1648
0.0018,1.9316,13.5706,4.8475,999.9893,13.5740,4.8678,999.9893
0.0018,2.0827,13.5627,4.9954,999.8723,13.5678,5.0177,999.8723
0.0018,2.2337,13.5647,5.1855,999.8138,13.5705,5.2118,999.8138
0.0018,2.3847,13.5666,5.3122,999.8723,13.5717,5.3416,999.8723
0.0018,2.5357,13.5686,5.4706,1000.0478,13.5713,5.5041,1000.0478
0.0018,2.6867,13.5706,5.6395,999.9893,13.5740,5.6766,999.9893
0.0018,2.8377,13.5627,5.7768,999.9893,13.5662,5.8162,999.9893
0.0018,2.9887,13.5647,5.9141,999.7553,13.5713,5.9557,999.7553
0.0018,3.1397,13.5686,6.0936,999.6383,13.5768,6.1390,999.6383
0.0018,3.2907,13.5666,6.2414,999.7553,13.5733,6.2902,999.7553
0.0018,3.4417,13.5686,6.3998,999.8723,13.5737,6.4525,999.8723
0.0018,3.5928,13.5666,6.5582,999.7553,13.5733,6.6137,999.7553
0.0018,3.7438,13.5666,6.6955,999.9308,13.5709,6.7545,999.9308
0.0018,3.8948,13.5588,6.8539,999.8138,13.5646,6.9153,999.8138
0.0018,4.0458,13.5588,7.0229,999.6968,13.5662,7.0874,999.6968
0.0018,4.1968,13.5607,7.1602,999.8723,13.5658,7.2284,999.8723
0.0018,4.3478,13.5607,7.3186,999.8723,13.5658,7.3901,999.8723
0.0018,4.4988,13.5666,7.4981,999.8723,13.5717,7.5739,999.8723
0.0018,4.6498,13.5706,7.6248,999.7553,13.5772,7.7032,999.7553
0.0018,4.8008,13.5627,7.7937,999.8138,13.5686,7.8754,999.8138
0.0019,4.9518,13.5627,7.9416,999.6968,13.5701,8.0259,999.6968
0.0019,5.1029,13.5607,8.1000,999.8138,13.5666,8.1880,999.8138
0.0019,5.2539,13.5588,8.2584,999.7553,13.5654,8.3494,999.7553
0.0019,5.4049,13.5627,8.3957,999.6968,13.5701,8.4897,999.6968
0.0019,5.5559,13.5627,8.5435,999.6968,13.5701,8.6406,999.6968
0.0019,5.7069,13.5607,8.7125,999.6968,13.5682,8.8130,999.6968
0.0019,5.8579,13.5607,8.8709,999.6968,13.5682,8.9748,999.6968
0.0019,6.0089,13.5647,9.0292,999.8138,13.5705,9.1373,999.8138
0.0019,6.1599,13.5647,9.1665,999.8138,13.5705,9.2775,999.8138
0.0019,6.3109,13.5607,9.3249,999.8138,13.5666,9.4389,999.8138
0.0019,6.4619,13.5627,9.4516,999.6968,13.5701,9.5681,999.6968
0.0019,6.6130,13.5627,9.6206,999.6968,13.5701,9.7406,999.6968
0.0019,6.7640,13.5647,9.7896,999.9893,13.5681,9.9144,999.9893
