****Header****
date 01/15/25 03:37:16
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2102
Emissivity:	   1.0000
FF:	   0.8017
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5424
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9418
Iref1:	  13.6176
Iref2:	N/A
Isc:	  13.6173
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0012
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:37:16.171000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:37:16.506000
Pmax:	 541.6175
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1755.0000
Rs:	   0.2679
Rsh:  528.6208
Snr: A8C7A0C
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.2801
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.6149
Vpmax:	  41.8504
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 85ae8835-4c33-43e8-9d64-47351a8252c6

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.9322,-1.3828,999.8723,13.9323,-1.3474,999.8723
0.0015,-5.4678,13.9302,-1.3933,999.9893,13.9287,-1.3579,999.9893
0.0015,-5.3168,13.9283,-1.3828,1000.0478,13.9260,-1.3470,1000.0478
0.0015,-5.1658,13.9283,-1.3828,999.7553,13.9299,-1.3481,999.7553
0.0015,-5.0148,13.9283,-1.3828,999.8723,13.9284,-1.3477,999.8723
0.0015,-4.8638,13.9243,-1.3617,999.9308,13.9236,-1.3262,999.9308
0.0015,-4.7128,13.9066,-1.3511,999.6383,13.9099,-1.3179,999.6383
0.0015,-4.5618,13.8772,-1.3300,999.8723,13.8773,-1.2978,999.8723
0.0015,-4.4108,13.8320,-1.3089,999.8138,13.8328,-1.2800,999.8138
0.0015,-4.2598,13.7691,-1.2561,999.8723,13.7692,-1.2308,999.8723
0.0015,-4.1087,13.6963,-1.1927,999.6383,13.6996,-1.1727,999.6383
0.0016,-3.9577,13.6315,-1.0660,999.7553,13.6332,-1.0480,999.7553
0.0016,-3.8067,13.6040,-0.9076,999.7553,13.6057,-0.8884,999.7553
0.0016,-3.6557,13.6197,-0.7386,999.7553,13.6214,-0.7145,999.7553
0.0016,-3.5047,13.6177,-0.6119,999.6383,13.6210,-0.5857,999.6383
0.0016,-3.3537,13.6158,-0.4958,999.6968,13.6182,-0.4669,999.6968
0.0016,-3.2027,13.6177,-0.3690,999.5798,13.6218,-0.3378,999.5798
0.0016,-3.0517,13.6177,-0.2106,999.5798,13.6218,-0.1760,999.5798
0.0016,-2.9007,13.6158,-0.0628,999.4627,13.6214,-0.0255,999.4627
0.0016,-2.7497,13.6099,0.0745,999.5798,13.6139,0.1147,999.5798
0.0016,-2.5986,13.6118,0.2012,999.6383,13.6151,0.2445,999.6383
0.0016,-2.4476,13.6099,0.3702,999.5213,13.6147,0.4165,999.5213
0.0016,-2.2966,13.6138,0.5286,999.4627,13.6195,0.5784,999.4627
0.0016,-2.1456,13.6118,0.6764,999.5798,13.6159,0.7297,999.5798
0.0016,-1.9946,13.6138,0.8453,999.6968,13.6163,0.9028,999.6968
0.0016,-1.8436,13.6158,0.9721,999.5798,13.6198,1.0320,999.5798
0.0016,-1.6926,13.6118,1.1093,999.5798,13.6159,1.1719,999.5798
0.0016,-1.5416,13.6217,1.2783,999.6383,13.6249,1.3455,999.6383
0.0016,-1.3906,13.6158,1.4473,999.6383,13.6190,1.5176,999.6383
0.0016,-1.2396,13.6118,1.5845,999.5798,13.6159,1.6573,999.5798
0.0016,-1.0885,13.6177,1.7535,999.7553,13.6194,1.8310,999.7553
0.0017,-0.9375,13.6158,1.9013,999.7553,13.6174,1.9819,999.7553
0.0017,-0.7865,13.6158,2.0492,999.6968,13.6182,2.1327,999.6968
0.0017,-0.6355,13.6138,2.2076,999.6968,13.6163,2.2944,999.6968
0.0017,-0.4845,13.6158,2.3871,999.8138,13.6167,2.4783,999.8138
