****Header****
date 01/15/25 03:18:51
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2104
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.4248
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9216
Iref1:	  13.5863
Iref2:	N/A
Isc:	  13.5838
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0011
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:18:51.070000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:18:51.272000
Pmax:	 542.2248
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1774.0000
Rs:	   0.2827
Rsh:  614.8030
Snr: A8C7A0D
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.8138
TempMC:	  24.5715
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.0608
Vpmax:	  41.9627
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 3c280c8b-58d7-41c5-894f-31515369f18d

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.6118,-1.4356,999.5213,13.6194,-1.4928,999.5213
0.0015,-5.4678,13.6099,-1.4250,999.8138,13.6135,-1.4810,999.8138
0.0015,-5.3168,13.6099,-1.4461,999.8138,13.6135,-1.5026,999.8138
0.0015,-5.1658,13.6197,-1.4145,999.6968,13.6249,-1.4699,999.6968
0.0015,-5.0148,13.6138,-1.4250,999.9308,13.6158,-1.4803,999.9308
0.0015,-4.8638,13.6138,-1.4145,999.8723,13.6166,-1.4697,999.8723
0.0015,-4.7128,13.6118,-1.3933,999.8723,13.6147,-1.4483,999.8723
0.0015,-4.5618,13.6079,-1.3194,999.9893,13.6091,-1.3727,999.9893
0.0015,-4.4108,13.6020,-1.2455,1000.1063,13.6017,-1.2972,1000.1063
0.0015,-4.2598,13.6000,-1.1610,1000.1648,13.5989,-1.2108,1000.1648
0.0015,-4.1087,13.5961,-1.0766,1000.1063,13.5958,-1.1251,1000.1063
0.0016,-3.9577,13.5941,-0.9604,999.9893,13.5954,-1.0071,999.9893
0.0016,-3.8067,13.5941,-0.8759,1000.0478,13.5946,-0.9206,1000.0478
0.0016,-3.6557,13.5922,-0.7492,1000.0478,13.5926,-0.7913,1000.0478
0.0016,-3.5047,13.5922,-0.6014,1000.1063,13.5918,-0.6401,1000.1063
0.0016,-3.3537,13.5922,-0.4958,1000.0478,13.5926,-0.5325,1000.0478
0.0016,-3.2027,13.5883,-0.3585,1000.0478,13.5887,-0.3926,1000.0478
0.0016,-3.0517,13.5843,-0.1895,1000.0478,13.5848,-0.2204,1000.0478
0.0016,-2.9007,13.5863,-0.0417,1000.0478,13.5867,-0.0692,1000.0478
0.0016,-2.7497,13.5843,0.0850,1000.1648,13.5832,0.0605,1000.1648
0.0016,-2.5986,13.5843,0.2223,1000.1063,13.5840,0.2004,1000.1063
0.0016,-2.4476,13.5863,0.3913,1000.3404,13.5828,0.3740,1000.3404
0.0016,-2.2966,13.5883,0.5180,1000.1648,13.5871,0.5029,1000.1648
0.0016,-2.1456,13.5824,0.6869,1000.1063,13.5820,0.6748,1000.1063
0.0016,-1.9946,13.5804,0.8242,1000.2234,13.5785,0.8153,1000.2234
0.0016,-1.8436,13.5765,0.9826,1000.2234,13.5745,0.9767,1000.2234
0.0016,-1.6926,13.5725,1.1516,1000.2819,13.5698,1.1492,1000.2819
