****Header****
date 01/15/25 03:41:35
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2104
Emissivity:	   1.0000
FF:	   0.8001
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5679
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9431
Iref1:	  13.5869
Iref2:	N/A
Isc:	  13.5889
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:41:35.666000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:41:35.918000
Pmax:	 542.1232
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1747.0000
Rs:	   0.2720
Rsh:  565.7328
Snr: A8C7A0E
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.6186
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.8642
Vpmax:	  41.8852
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 02415532-7137-41ee-a89a-a185c0f83599

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.6197,-1.4567,1000.0478,13.6272,-1.6859,1000.0478
0.0015,-5.4678,13.6217,-1.4461,999.9893,13.6300,-1.6752,999.9893
0.0015,-5.3168,13.6236,-1.4567,1000.0478,13.6311,-1.6856,1000.0478
0.0015,-5.1658,13.6295,-1.4673,1000.1063,13.6362,-1.6957,1000.1063
0.0015,-5.0148,13.6276,-1.4567,999.9893,13.6359,-1.6855,999.9893
0.0015,-4.8638,13.6236,-1.4250,999.9893,13.6319,-1.6535,999.9893
0.0015,-4.7128,13.6158,-1.4039,999.9893,13.6241,-1.6325,999.9893
0.0015,-4.5618,13.5981,-1.3405,1000.1648,13.6040,-1.5686,1000.1648
0.0015,-4.4108,13.5981,-1.2772,1000.1063,13.6048,-1.5041,1000.1063
0.0015,-4.2598,13.5941,-1.2033,999.9308,13.6032,-1.4295,999.9308
0.0015,-4.1087,13.5961,-1.1082,1000.0478,13.6036,-1.3319,1000.0478
0.0016,-3.9577,13.5961,-0.9815,1000.1063,13.6028,-1.2022,1000.1063
0.0016,-3.8067,13.5922,-0.8654,1000.1063,13.5989,-1.0839,1000.1063
0.0016,-3.6557,13.5922,-0.7492,1000.1063,13.5989,-0.9653,1000.1063
0.0016,-3.5047,13.5883,-0.6119,999.9893,13.5965,-0.8258,999.9893
0.0016,-3.3537,13.5863,-0.4958,1000.1648,13.5922,-0.7067,1000.1648
0.0016,-3.2027,13.5843,-0.3690,1000.1063,13.5910,-0.5776,1000.1063
0.0016,-3.0517,13.5745,-0.2212,1000.2819,13.5788,-0.4268,1000.2819
0.0016,-2.9007,13.5824,-0.0945,999.9308,13.5914,-0.2980,999.9308
0.0016,-2.7497,13.5784,0.0956,999.9893,13.5867,-0.1040,999.9893
0.0016,-2.5986,13.5765,0.2223,1000.0478,13.5840,0.0255,1000.0478
0.0016,-2.4476,13.5804,0.3807,999.8723,13.5903,0.1870,999.8723
0.0016,-2.2966,13.5784,0.5180,999.8723,13.5883,0.3270,999.8723
0.0016,-2.1456,13.5706,0.6658,999.8723,13.5804,0.4774,999.8723
0.0016,-1.9946,13.5686,0.8031,999.7553,13.5801,0.6170,999.7553
0.0016,-1.8436,13.5725,0.9826,999.8138,13.5832,0.8009,999.8138
0.0016,-1.6926,13.5745,1.1093,999.6968,13.5868,0.9300,999.6968
0.0016,-1.5416,13.5804,1.2677,999.6383,13.5935,1.0921,999.6383
0.0016,-1.3906,13.5745,1.4367,999.6968,13.5868,1.2644,999.6968
0.0016,-1.2396,13.5706,1.5951,999.8138,13.5812,1.4263,999.8138
0.0016,-1.0885,13.5706,1.7535,999.7553,13.5820,1.5879,999.7553
0.0017,-0.9375,13.5745,1.9119,999.5798,13.5884,1.7493,999.5798
0.0017,-0.7865,13.5706,2.0492,999.5213,13.5852,1.8890,999.5213
0.0017,-0.6355,13.5666,2.2076,999.4042,13.5829,2.0500,999.4042
0.0017,-0.4845,13.5627,2.3448,999.5213,13.5774,2.1903,999.5213
0.0017,-0.3335,13.5706,2.5244,999.5213,13.5852,2.3743,999.5213
0.0017,-0.1825,13.5627,2.6828,999.5213,13.5774,2.5355,999.5213
0.0017,-0.0315,13.5666,2.8306,999.6383,13.5797,2.6872,999.6383
0.0017,0.1195,13.5666,2.9784,999.4042,13.5829,2.8373,999.4042
