****Header****
date 01/15/25 03:35:58
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2119
Emissivity:	   1.0000
FF:	   0.8032
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5068
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9438
Iref1:	  13.6073
Iref2:	N/A
Isc:	  13.5993
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:35:58.216000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:35:58.445000
Pmax:	 546.0381
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1757.0000
Rs:	   0.2686
Rsh:  594.2501
Snr: A8C7A0F
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  26.7726
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9909
Vpmax:	  42.1852
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 29c3c37c-aa32-4e07-9516-f8d38b15f57a

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.8575,-1.3828,999.6968,13.8512,-1.1354,999.6968
0.0015,-5.4678,13.8595,-1.3933,999.7553,13.8524,-1.1458,999.7553
0.0015,-5.3168,13.8614,-1.4039,999.7553,13.8543,-1.1564,999.7553
0.0015,-5.1658,13.8673,-1.3828,999.6383,13.8618,-1.1348,999.6383
0.0015,-5.0148,13.8614,-1.4039,999.4627,13.8583,-1.1575,999.4627
0.0015,-4.8638,13.8516,-1.3722,999.5798,13.8469,-1.1255,999.5798
0.0015,-4.7128,13.8359,-1.3617,999.8723,13.8272,-1.1149,999.8723
0.0015,-4.5618,13.8084,-1.3405,999.6383,13.8028,-1.0964,999.6383
0.0015,-4.4108,13.7671,-1.2983,999.5798,13.7624,-1.0567,999.5798
0.0015,-4.2598,13.7121,-1.2561,999.5798,13.7073,-1.0179,999.5798
0.0015,-4.1087,13.6511,-1.2033,999.2287,13.6512,-0.9701,999.2287
0.0016,-3.9577,13.6099,-1.0554,999.3457,13.6083,-0.8220,999.3457
0.0016,-3.8067,13.6040,-0.8759,999.5213,13.6000,-0.6384,999.5213
0.0016,-3.6557,13.6118,-0.7492,999.5798,13.6071,-0.5082,999.5798
0.0016,-3.5047,13.6138,-0.6119,999.3457,13.6122,-0.3687,999.3457
0.0016,-3.3537,13.6099,-0.4958,999.4042,13.6075,-0.2501,999.4042
0.0016,-3.2027,13.6040,-0.3479,999.4042,13.6016,-0.0996,999.4042
0.0016,-3.0517,13.6079,-0.2001,999.3457,13.6064,0.0515,999.3457
0.0016,-2.9007,13.6079,-0.0945,999.5213,13.6040,0.1600,999.5213
0.0016,-2.7497,13.6079,0.0850,999.5213,13.6040,0.3433,999.5213
0.0016,-2.5986,13.6079,0.2223,999.5213,13.6040,0.4835,999.5213
0.0016,-2.4476,13.6020,0.3702,999.4042,13.5997,0.6336,999.4042
0.0016,-2.2966,13.6059,0.5286,999.3457,13.6044,0.7955,999.3457
