****Header****
date 01/15/25 05:01:00
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   3
ClassID:	N/A
ClassName:	TP550HG10-8000011180
Eff:	   0.2137
Emissivity:	   1.0000
FF:	   0.8075
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5270
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9666
Iref1:	  13.5851
Iref2:	N/A
Isc:	  13.5734
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0016
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 05:01:00.464000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 05:01:00.657000
Pmax:	 550.8111
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1668.0000
Rs:	   0.2593
Rsh:  525.7810
Snr: A8C7A1F
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.1589
TempMC:	  23.9457
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.2525
Vpmax:	  42.4793
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 217cfb7c-9f1a-488b-bcb2-6b6ff9eaa365

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.8457,-1.4039,999.8138,13.8532,-1.5348,999.8138
0.0015,-5.4678,13.8497,-1.4039,999.8138,13.8571,-1.5345,999.8138
0.0015,-5.3168,13.8497,-1.4145,999.6968,13.8587,-1.5457,999.6968
0.0015,-5.1658,13.8497,-1.3933,999.5798,13.8603,-1.5246,999.5798
0.0015,-5.0148,13.8497,-1.3933,999.4627,13.8619,-1.5250,999.4627
0.0015,-4.8638,13.8438,-1.3828,999.4042,13.8568,-1.5149,999.4042
0.0015,-4.7128,13.8241,-1.3933,999.1702,13.8403,-1.5280,999.1702
0.0015,-4.5618,13.8005,-1.3617,999.1117,13.8175,-1.4977,999.1117
0.0015,-4.4108,13.7553,-1.3089,999.0532,13.7731,-1.4476,999.0532
0.0015,-4.2598,13.6924,-1.2561,998.9362,13.7118,-1.3991,998.9362
0.0015,-4.1087,13.6236,-1.1927,999.1117,13.6406,-1.3392,999.1117
0.0016,-3.9577,13.5706,-1.0766,998.8777,13.5908,-1.2256,998.8777
0.0016,-3.8067,13.5509,-0.9076,998.8192,13.5719,-1.0548,998.8192
0.0016,-3.6557,13.5588,-0.7598,998.8192,13.5798,-0.9033,998.8192
0.0016,-3.5047,13.5627,-0.6436,998.8192,13.5837,-0.7843,998.8192
0.0016,-3.3537,13.5647,-0.4958,998.8192,13.5857,-0.6332,998.8192
0.0016,-3.2027,13.5706,-0.3585,998.8192,13.5915,-0.4926,998.8192
0.0016,-3.0517,13.5627,-0.2423,998.7021,13.5853,-0.3750,998.7021
0.0016,-2.9007,13.5647,-0.0945,998.5266,13.5896,-0.2245,998.5266
0.0016,-2.7497,13.5627,0.0639,998.7021,13.5853,-0.0623,998.7021
0.0016,-2.5986,13.5647,0.2118,998.6436,13.5880,0.0887,998.6436
0.0016,-2.4476,13.5588,0.3596,998.6436,13.5821,0.2392,998.6436
0.0016,-2.2966,13.5607,0.5286,998.8192,13.5817,0.4125,998.8192
0.0016,-2.1456,13.5666,0.6553,998.5851,13.5908,0.5415,998.5851
0.0016,-1.9946,13.5607,0.7820,998.7606,13.5825,0.6711,998.7606
0.0016,-1.8436,13.5607,0.9721,998.8777,13.5809,0.8656,998.8777
0.0016,-1.6926,13.5627,1.1199,998.7606,13.5845,1.0163,998.7606
0.0016,-1.5416,13.5647,1.2889,998.7606,13.5864,1.1890,998.7606
0.0016,-1.3906,13.5627,1.4261,998.8777,13.5829,1.3294,998.8777
0.0016,-1.2396,13.5627,1.5845,998.9362,13.5821,1.4914,998.9362
0.0016,-1.0885,13.5607,1.7324,999.1117,13.5778,1.6428,999.1117
0.0017,-0.9375,13.5607,1.8697,998.9362,13.5801,1.7824,998.9362
0.0017,-0.7865,13.5607,2.0597,999.2872,13.5754,1.9777,999.2872
0.0017,-0.6355,13.5607,2.1865,999.1702,13.5770,2.1067,999.1702
0.0017,-0.4845,13.5607,2.3448,999.3457,13.5746,2.2690,999.3457
0.0017,-0.3335,13.5607,2.5138,999.2287,13.5762,2.4412,999.2287
0.0017,-0.1825,13.5607,2.6722,999.1702,13.5770,2.6027,999.1702
0.0017,-0.0315,13.5627,2.8306,999.2872,13.5773,2.7650,999.2872
0.0017,0.1195,13.5666,2.9784,999.4627,13.5789,2.9169,999.4627
0.0017,0.2705,13.5647,3.1263,999.5213,13.5761,3.0679,999.5213
0.0017,0.4216,13.5627,3.2847,999.4042,13.5757,3.2291,999.4042
0.0017,0.5726,13.5607,3.4325,999.4627,13.5730,3.3801,999.4627
0.0017,0.7236,13.5588,3.5909,999.7553,13.5671,3.5428,999.7553
0.0017,0.8746,13.5568,3.7493,999.8138,13.5643,3.7046,999.8138
0.0017,1.0256,13.5627,3.9183,999.9308,13.5686,3.8780,999.9308
0.0017,1.1766,13.5588,4.0661,999.9308,13.5647,4.0286,999.9308
0.0017,1.3276,13.5588,4.2139,1000.0478,13.5631,4.1800,1000.0478
0.0017,1.4786,13.5607,4.3618,1000.0478,13.5650,4.3311,1000.0478
0.0017,1.6296,13.5607,4.5413,1000.2234,13.5627,4.5151,1000.2234
0.0017,1.7806,13.5588,4.6891,1000.2819,13.5599,4.6661,1000.2819
0.0018,1.9316,13.5588,4.8475,1000.2819,13.5599,4.8278,1000.2819
0.0018,2.0827,13.5607,5.0059,1000.3404,13.5611,4.9899,1000.3404
0.0018,2.2337,13.5607,5.1327,1000.3404,13.5611,5.1193,1000.3404
0.0018,2.3847,13.5588,5.3016,1000.3989,13.5583,5.2919,1000.3989
0.0018,2.5357,13.5607,5.4706,1000.5744,13.5579,5.4652,1000.5744
