****Header****
date 01/15/25 06:21:04
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2116
Emissivity:	   1.0000
FF:	   0.8008
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5619
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9363
Iref1:	  13.5672
Iref2:	N/A
Isc:	  13.5667
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0015
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 06:21:03.807000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 06:21:04.268000
Pmax:	 545.3422
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1595.0000
Rs:	   0.2747
Rsh:  534.2642
Snr: A8C7A2A
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.5491
TempMC:	  24.3927
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.1941
Vpmax:	  42.1558
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: b452bc51-1b50-482b-8e35-4dfe4f86c785

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.5961,-1.4250,1001.1595,13.5890,-1.6594,1001.1595
0.0015,-5.4678,13.5922,-1.4145,1001.1595,13.5850,-1.6489,1001.1595
0.0015,-5.3168,13.5941,-1.4145,1000.9840,13.5894,-1.6494,1000.9840
0.0015,-5.1658,13.5902,-1.4356,1000.8670,13.5870,-1.6717,1000.8670
0.0015,-5.0148,13.5902,-1.4250,1001.1595,13.5831,-1.6598,1001.1595
0.0015,-4.8638,13.5883,-1.4145,1001.0425,13.5827,-1.6497,1001.0425
0.0015,-4.7128,13.5883,-1.3722,1000.7499,13.5866,-1.6076,1000.7499
0.0015,-4.5618,13.5784,-1.3405,1000.9255,13.5744,-1.5754,1000.9255
0.0015,-4.4108,13.5706,-1.2455,1000.6914,13.5697,-1.4798,1000.6914
0.0015,-4.2598,13.5706,-1.1716,1000.4574,13.5729,-1.4052,1000.4574
0.0015,-4.1087,13.5627,-1.0977,1000.4574,13.5651,-1.3304,1000.4574
0.0016,-3.9577,13.5627,-0.9815,1000.4574,13.5651,-1.2117,1000.4574
0.0016,-3.8067,13.5568,-0.8548,1000.1063,13.5639,-1.0841,1000.1063
0.0016,-3.6557,13.5588,-0.7598,999.9308,13.5683,-0.9876,999.9308
0.0016,-3.5047,13.5607,-0.6014,999.6968,13.5734,-0.8265,999.6968
0.0016,-3.3537,13.5529,-0.4958,999.7553,13.5648,-0.7191,999.7553
0.0016,-3.2027,13.5509,-0.3374,999.7553,13.5628,-0.5575,999.7553
0.0016,-3.0517,13.5548,-0.2001,999.5213,13.5699,-0.4179,999.5213
0.0016,-2.9007,13.5529,-0.0522,999.4627,13.5687,-0.2673,999.4627
0.0016,-2.7497,13.5489,0.0850,999.3457,13.5664,-0.1279,999.3457
0.0016,-2.5986,13.5489,0.2223,999.3457,13.5664,0.0123,999.3457
0.0016,-2.4476,13.5470,0.3807,999.2287,13.5660,0.1735,999.2287
0.0016,-2.2966,13.5450,0.5180,999.2287,13.5640,0.3135,999.2287
