****Header****
date 01/15/25 04:13:22
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2131
Emissivity:	   1.0000
FF:	   0.8079
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.4925
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9777
Iref1:	  13.5786
Iref2:	N/A
Isc:	  13.5800
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 04:13:21.855000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 04:13:22.070000
Pmax:	 549.1092
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1716.0000
Rs:	   0.2578
Rsh:  687.7649
Snr: A8C7A2B
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.7829
TempMC:	  23.7669
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.0488
Vpmax:	  42.3119
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 92423395-d802-44be-97a2-371e97fc5493

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0015,-5.6188,13.9342,-1.3722,999.9893,13.9415,-1.5501,999.9893
0.0015,-5.4678,13.9342,-1.3828,1000.0478,13.9407,-1.5607,1000.0478
0.0015,-5.3168,13.9322,-1.3828,1000.2819,13.9356,-1.5601,1000.2819
0.0015,-5.1658,13.9342,-1.3933,1000.2234,13.9383,-1.5709,1000.2234
0.0015,-5.0148,13.9361,-1.3722,1000.0478,13.9427,-1.5498,1000.0478
0.0015,-4.8638,13.9283,-1.3617,999.9893,13.9356,-1.5398,999.9893
0.0015,-4.7128,13.9106,-1.3828,1000.0478,13.9171,-1.5626,1000.0478
0.0015,-4.5618,13.8850,-1.3300,999.9893,13.8924,-1.5109,999.9893
0.0015,-4.4108,13.8398,-1.2983,999.9893,13.8472,-1.4821,999.9893
0.0015,-4.2598,13.7691,-1.2561,999.8723,13.7780,-1.4450,999.8723
0.0015,-4.1087,13.6885,-1.1927,999.9893,13.6958,-1.3862,999.9893
0.0016,-3.9577,13.6079,-1.1188,999.7553,13.6184,-1.3180,999.7553
0.0016,-3.8067,13.5607,-0.9710,999.9308,13.5689,-1.1701,999.9308
0.0016,-3.6557,13.5607,-0.7598,999.9893,13.5681,-0.9542,999.9893
0.0016,-3.5047,13.5765,-0.6330,999.9893,13.5838,-0.8235,999.9893
0.0016,-3.3537,13.5725,-0.5063,1000.1063,13.5783,-0.6940,1000.1063
0.0016,-3.2027,13.5647,-0.3585,999.8723,13.5736,-0.5445,999.8723
0.0016,-3.0517,13.5666,-0.2318,999.7553,13.5771,-0.4153,999.7553
0.0016,-2.9007,13.5725,-0.0734,999.7553,13.5830,-0.2531,999.7553
0.0016,-2.7497,13.5706,0.0639,999.8723,13.5795,-0.1127,999.8723
0.0016,-2.5986,13.5666,0.2012,999.6968,13.5779,0.0266,999.6968
0.0016,-2.4476,13.5686,0.3702,999.6383,13.5807,0.1991,999.6383
0.0016,-2.2966,13.5627,0.5074,999.6968,13.5740,0.3391,999.6968
0.0016,-2.1456,13.5706,0.6447,999.5798,13.5834,0.4795,999.5798
0.0016,-1.9946,13.5686,0.8242,999.5798,13.5815,0.6626,999.5798
0.0016,-1.8436,13.5647,0.9615,999.5798,13.5776,0.8025,999.5798
0.0016,-1.6926,13.5627,1.1093,999.6383,13.5748,0.9536,999.6383
0.0016,-1.5416,13.5647,1.2783,999.6383,13.5768,1.1263,999.6383
0.0016,-1.3906,13.5607,1.4261,999.4627,13.5752,1.2763,999.4627
0.0016,-1.2396,13.5647,1.5845,999.5798,13.5776,1.4388,999.5798
0.0016,-1.0885,13.5627,1.7324,999.5213,13.5764,1.5894,999.5213
0.0017,-0.9375,13.5627,1.8802,999.5798,13.5756,1.7406,999.5798
0.0017,-0.7865,13.5607,2.0175,999.5798,13.5736,1.8806,999.5798
0.0017,-0.6355,13.5647,2.1970,999.5798,13.5776,2.0643,999.5798
0.0017,-0.4845,13.5666,2.3554,999.5213,13.5803,2.2260,999.5213
0.0017,-0.3335,13.5627,2.5138,999.5213,13.5764,2.3875,999.5213
0.0017,-0.1825,13.5627,2.6722,999.6968,13.5740,2.5498,999.6968
0.0017,-0.0315,13.5627,2.8306,999.6383,13.5748,2.7114,999.6383
0.0017,0.1195,13.5588,2.9784,999.5798,13.5717,2.8619,999.5798
0.0017,0.2705,13.5647,3.1580,999.4627,13.5791,3.0453,999.4627
0.0017,0.4216,13.5647,3.2847,999.4627,13.5791,3.1747,999.4627
0.0017,0.5726,13.5627,3.4536,999.4627,13.5772,3.3471,999.4627
0.0017,0.7236,13.5666,3.6015,999.5798,13.5795,3.4988,999.5798
0.0017,0.8746,13.5666,3.7704,999.5213,13.5803,3.6711,999.5213
0.0017,1.0256,13.5627,3.9288,999.4042,13.5780,3.8322,999.4042
0.0017,1.1766,13.5627,4.0767,999.4627,13.5772,3.9833,999.4627
0.0017,1.3276,13.5666,4.2139,999.6383,13.5787,4.1245,999.6383
0.0017,1.4786,13.5588,4.3618,999.6383,13.5709,4.2748,999.6383
0.0017,1.6296,13.5627,4.5413,999.5798,13.5756,4.4583,999.5798
0.0017,1.7806,13.5647,4.6891,999.8723,13.5736,4.6104,999.8723
0.0018,1.9316,13.5607,4.8581,999.7553,13.5712,4.7823,999.7553
0.0018,2.0827,13.5647,4.9954,999.6968,13.5760,4.9226,999.6968
0.0018,2.2337,13.5666,5.1643,999.7553,13.5771,5.0955,999.7553
0.0018,2.3847,13.5627,5.3122,999.6968,13.5740,5.2459,999.6968
0.0018,2.5357,13.5607,5.4706,999.6968,13.5720,5.4075,999.6968
0.0018,2.6867,13.5647,5.6395,999.6968,13.5760,5.5804,999.6968
0.0018,2.8377,13.5607,5.7768,999.6383,13.5728,5.7201,999.6383
0.0018,2.9887,13.5607,5.9458,999.6383,13.5728,5.8926,999.6383
0.0018,3.1397,13.5607,6.0725,999.6383,13.5728,6.0220,999.6383
0.0018,3.2907,13.5607,6.2520,999.5798,13.5736,6.2052,999.5798
0.0018,3.4417,13.5607,6.3893,999.7553,13.5712,6.3460,999.7553
0.0018,3.5928,13.5588,6.5582,999.7553,13.5693,6.5184,999.7553
0.0018,3.7438,13.5568,6.7166,999.6383,13.5689,6.6796,999.6383
0.0018,3.8948,13.5607,6.8645,999.5213,13.5744,6.8305,999.5213
0.0018,4.0458,13.5568,7.0123,999.6383,13.5689,6.9815,999.6383
0.0018,4.1968,13.5588,7.1602,999.8138,13.5685,7.1333,999.8138
0.0018,4.3478,13.5588,7.3291,999.6968,13.5701,7.3054,999.6968
0.0018,4.4988,13.5627,7.4875,999.6968,13.5740,7.4675,999.6968
0.0018,4.6498,13.5607,7.6353,999.8138,13.5704,7.6187,999.8138
0.0018,4.8008,13.5588,7.7832,999.8138,13.5685,7.7696,999.8138
0.0019,4.9518,13.5548,7.8993,999.8138,13.5645,7.8879,999.8138
0.0019,5.1029,13.5588,8.1000,999.8138,13.5685,8.0931,999.8138
0.0019,5.2539,13.5568,8.2373,999.9308,13.5649,8.2335,999.9308
0.0019,5.4049,13.5588,8.3957,999.9308,13.5669,8.3955,999.9308
0.0019,5.5559,13.5627,8.5541,999.8723,13.5716,8.5573,999.8723
0.0019,5.7069,13.5607,8.7019,999.9308,13.5689,8.7084,999.9308
0.0019,5.8579,13.5607,8.8709,999.9308,13.5689,8.8809,999.9308
0.0019,6.0089,13.5548,9.0081,999.9893,13.5622,9.0208,999.9893
0.0019,6.1599,13.5568,9.1876,1000.0478,13.5633,9.2045,1000.0478
0.0019,6.3109,13.5568,9.3355,999.8723,13.5657,9.3549,999.8723
0.0019,6.4619,13.5529,9.4728,999.8723,13.5618,9.4948,999.8723
0.0019,6.6130,13.5588,9.6312,999.9308,13.5669,9.6572,999.9308
0.0019,6.7640,13.5509,9.7896,999.9308,13.5590,9.8184,999.9308
0.0019,6.9150,13.5568,9.9480,999.9893,13.5641,9.9808,999.9893
0.0019,7.0660,13.5568,10.0958,1000.0478,13.5633,10.1320,1000.0478
0.0019,7.2170,13.5529,10.2436,1000.1063,13.5586,10.2829,1000.1063
0.0019,7.3680,13.5548,10.4126,999.9893,13.5622,10.4552,999.9893
0.0019,7.5190,13.5548,10.5604,1000.0478,13.5614,10.6064,1000.0478
0.0019,7.6700,13.5529,10.7083,999.9893,13.5602,10.7570,999.9893
0.0019,7.8210,13.5548,10.8667,999.9308,13.5630,10.9187,999.9308
0.0019,7.9720,13.5568,11.0356,999.9308,13.5649,11.0914,999.9308
0.0020,8.1230,13.5548,11.1729,999.8723,13.5638,11.2312,999.8723
0.0020,8.2741,13.5568,11.3419,999.7553,13.5673,11.4035,999.7553
0.0020,8.4251,13.5548,11.4686,999.8138,13.5645,11.5330,999.8138
0.0020,8.5761,13.5509,11.6375,1000.0478,13.5574,11.7060,1000.0478
0.0020,8.7271,13.5548,11.7854,999.9308,13.5630,11.8569,999.9308
0.0020,8.8781,13.5548,11.9543,999.8723,13.5638,12.0293,999.8723
0.0020,9.0291,13.5529,12.1022,999.9893,13.5602,12.1805,999.9893
0.0020,9.1801,13.5548,12.2606,999.7553,13.5653,12.3416,999.7553
0.0020,9.3311,13.5509,12.4190,1000.0478,13.5574,12.5041,1000.0478
0.0020,9.4821,13.5529,12.5774,999.8723,13.5618,12.6654,999.8723
0.0020,9.6331,13.5548,12.7146,999.8723,13.5638,12.8057,999.8723
0.0020,9.7842,13.5607,12.8730,1000.2819,13.5641,12.9694,1000.2819
0.0020,9.9352,13.5548,13.0420,1000.0478,13.5614,13.1407,1000.0478
0.0020,10.0862,13.5529,13.1898,999.8723,13.5618,13.2909,999.8723
0.0020,10.2372,13.5489,13.3377,1000.1648,13.5539,13.4426,1000.1648
0.0020,10.3882,13.5509,13.4961,999.9893,13.5582,13.6039,999.9893
0.0020,10.5392,13.5509,13.6334,1000.1063,13.5566,13.7445,1000.1063
0.0020,10.6902,13.5509,13.7918,1000.1063,13.5566,13.9063,1000.1063
0.0020,10.8412,13.5509,13.9502,999.9893,13.5582,14.0676,999.9893
0.0021,10.9922,13.5548,14.1085,999.8138,13.5645,14.2291,999.8138
0.0021,11.1432,13.5529,14.2458,999.9308,13.5610,14.3695,999.9308
0.0021,11.2943,13.5548,14.4042,999.9308,13.5630,14.5314,999.9308
0.0021,11.4453,13.5548,14.5732,999.9893,13.5622,14.7042,999.9893
0.0021,11.5963,13.5489,14.7316,1000.1063,13.5547,14.8659,1000.1063
0.0021,11.7473,13.5509,14.9005,1000.1063,13.5566,15.0386,1000.1063
0.0021,11.8983,13.5548,15.0378,999.8138,13.5645,15.1781,999.8138
0.0021,12.0493,13.5568,15.2068,999.9308,13.5649,15.3512,999.9308
0.0021,12.2003,13.5509,15.3335,999.9893,13.5582,15.4804,999.9893
