Title,Comment,ID,SN,Date,Time1,Mod_Type,Pmax,Fill_Factor,Voc,Isc,Vpm,Ipm,RCCC,Irr_Target,Module_temp,Corrected_To,Rseries,Rshunt,Module_Eff,Sweep_Time,Sweep_Direction,Sweep_Mode,Irr_Flag,LTI,StdIsc1,T_MonCell,T_Ambient,Module_Type,Area_Module,Manufacturer,producer,celltype,moduletype
TA10D0,22.40%,A74AD73,I8231110A74AD73,11-10-2023,10:12:28,TP540HG10,541.396828,0.804392,49.929827,13.479936,42.149021,12.844826,999.982996,1000,23.83,25,0.2505,113.193935,21.004058,40,Isc-Voc,Linear IV,yes,0.000645,0.1655826,25.389374,25.625,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,10:18:02,TP545HG10,546.801647,0.805873,49.996116,13.571478,42.240158,12.945066,995.69442,1000,24.06,25,0.236096,172.386615,21.213744,40,Isc-Voc,Linear IV,yes,0.000833,0.1648725,25.3273,25.75,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,10:18:22,TP545HG10,546.407028,0.806085,49.962215,13.567309,42.208456,12.94544,995.855758,1000,23.98,25,0.214281,166.505435,21.198434,40,Isc-Voc,Linear IV,yes,0.001226,0.1648992,25.296263,25.125,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,10:19:01,TP545HG10,546.401667,0.80637,49.93068,13.570939,42.236842,12.936613,994.885077,1000,23.97,25,0.199563,118.158101,21.198226,40,Isc-Voc,Linear IV,yes,0.000949,0.1647384,25.358337,25.0625,,25775.82,Test report title,,,
TA10D0,22.40%,A6E0A38,I8231110A6E0A38,11-10-2023,10:24:12,TP545HG10,545.203713,0.804991,49.92747,13.565262,42.138679,12.93832,999.342985,1000,24.14,25,0.246099,231.851962,21.15175,40,Isc-Voc,Linear IV,yes,0.000784,0.1654766,25.3273,25.625,,25775.82,Test report title,,,
TA10D0,22.40%,A6E0A38,I8231110A6E0A38,11-10-2023,10:26:01,TP540HG10,544.674667,0.803452,49.928334,13.577831,42.106075,12.935774,999.69294,1000,24.04,25,0.248351,159.308367,21.131226,40,Isc-Voc,Linear IV,yes,0.001129,0.1655346,25.358337,25.6875,,25775.82,Test report title,,,
TA10D0,22.40%,A707924,I8231110A707924,11-10-2023,10:28:26,TP545HG10,548.248336,0.804345,50.048921,13.618837,42.280301,12.966992,999.59927,1000,23.62,25,0.242392,71.45968,21.26987,40,Isc-Voc,Linear IV,yes,0.001222,0.165519,25.358337,25.75,,25775.82,Test report title,,,
TA10D0,22.40%,A707924,I8231110A707924,11-10-2023,10:31:33,TP545HG10,548.308095,0.80406,50.078286,13.617167,42.306638,12.960332,999.364172,1000,23.77,25,0.247414,71.03097,21.272188,40,Isc-Voc,Linear IV,yes,0.00106,0.1654801,25.389374,25.6875,,25775.82,Test report title,,,
TA10D0,22.40%,A74AD73,I8231110A74AD73,11-10-2023,10:37:27,TP535HG10,539.96558,0.806369,49.862412,13.429481,42.089631,12.828945,999.719924,1000,23.28,25,0.237762,226.869819,20.948532,40,Isc-Voc,Linear IV,yes,0.001106,0.1655386,25.358337,25.75,,25775.82,Test report title,,,
TA10D0,22.40%,A74AD73,I8231110A74AD73,11-10-2023,10:38:24,TP535HG10,539.952517,0.807163,49.811145,13.429741,42.090591,12.828342,999.581881,1000,23.31,25,0.240656,222.453431,20.948025,40,Isc-Voc,Linear IV,yes,0.00083,0.1655158,25.3273,24.625,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,10:41:18,TP545HG10,545.244154,0.807772,49.920236,13.521518,42.199941,12.920496,999.062699,1000,23.67,25,0.229341,459.86901,21.153319,40,Isc-Voc,Linear IV,yes,0.001383,0.1654298,25.358337,24.4375,,25775.82,Test report title,,,
TA10D0,22.40%,A74AD73,I8231110A74AD73,11-10-2023,10:46:13,TP540HG10,540.101377,0.805685,49.867436,13.442908,42.103671,12.827893,1000.000933,1000,23.36,25,0.236432,187.412805,20.9538,40,Isc-Voc,Linear IV,yes,0.00076,0.1655852,25.358337,24.375,,25775.82,Test report title,,,
TA10D0,22.40%,A74AD73,I8231110A74AD73,11-10-2023,10:48:05,TP535HG10,539.751318,0.807944,49.707902,13.439623,42.087706,12.824441,1000.050836,1000,23.34,25,0.224587,199.172489,20.940219,40,Isc-Voc,Linear IV,yes,0.000783,0.1656022,25.3273,23.75,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,10:49:26,TP545HG10,545.54712,0.806401,49.787438,13.588182,42.207725,12.925291,999.756179,1000,23.64,25,0.245078,64.186867,21.165073,40,Isc-Voc,Linear IV,yes,0.001014,0.1655534,25.296263,23.6875,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,10:49:37,TP545HG10,545.14682,0.806725,49.725278,13.58973,42.144501,12.935183,999.760786,1000,23.51,25,0.213052,62.62115,21.149543,40,Isc-Voc,Linear IV,yes,0.000806,0.1655542,25.296263,23.8125,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,11:17:23,TP545HG10,546.331116,0.808519,49.850398,13.554923,42.233124,12.936081,999.221217,1000,24.19,25,0.224717,121.200557,21.195489,40,Isc-Voc,Linear IV,yes,0.000692,0.165465,25.172111,23.8125,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,11:17:34,TP545HG10,546.301456,0.808681,49.827041,13.557828,42.242832,12.932406,999.408408,1000,24.26,25,0.212435,108.092947,21.194339,40,Isc-Voc,Linear IV,yes,0.000876,0.165496,25.20315,24.875,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,11:18:16,TP550HG10,550.377577,0.798808,49.732076,13.854215,41.629799,13.22076,0,1000,24.22,25,0.240435,107.415029,21.352476,40,Isc-Voc,Linear IV,no,0.00083,0.1654966,25.141073,24.875,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,11:19:37,6,544.998974,0.805149,49.906487,13.563202,42.146861,12.930951,999.885809,1000,24.14,25,0.242988,116.256284,21.143807,40,Isc-Voc,Linear IV,yes,0.000922,0.1654777,25.234188,25,,25775.82,Test report title,,,
TA10D0,22.40%,A76AD73,I8231110A76AD73,11-10-2023,11:21:49,TP535HG10,539.580596,0.805564,49.798451,13.450555,42.034932,12.836481,1000.428513,1000,23.16,25,0.203759,300.915023,20.933596,40,Isc-Voc,Linear IV,yes,0.001014,0.1655675,25.172111,24.9375,,25775.82,Test report title,,,
TA10D0,22.40%,A74AD73,I8231110A74AD73,11-10-2023,11:29:19,TP535HG10,539.662118,0.806298,49.751075,13.453148,41.97817,12.85578,999.758515,1000,23.71,25,0.23803,293.080994,20.936758,40,Isc-Voc,Linear IV,yes,0.003225,0.1655013,25.265225,25.125,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,11:32:40,TP540HG10,544.844955,0.806742,49.86775,13.543117,42.159954,12.923282,999.990618,1000,24.92,25,0.234832,175.374407,21.137832,40,Isc-Voc,Linear IV,yes,0.004563,0.1655397,25.234188,25.125,,25775.82,Test report title,,,
TA10D0,22.40%,A66AF36,I8231110A66AF36,11-10-2023,11:33:01,TP540HG10,544.915798,0.806469,49.880198,13.546085,42.16229,12.924246,1000.092482,1000,24.91,25,0.257902,153.33075,21.140581,40,Isc-Voc,Linear IV,yes,0.003644,0.1655566,25.141073,25.25,,25775.82,Test report title,,,
TA10D0,22.40%,A661F36,I8231110A661F36,11-10-2023,11:33:13,TP545HG10,545.030138,0.806756,49.874142,13.545739,42.162116,12.927011,999.975735,1000,24.97,25,0.235584,160.300893,21.145016,40,Isc-Voc,Linear IV,yes,0.004471,0.1655373,25.141073,25.375,,25775.82,Test report title,,,
TA10D0,22.40%,A707924,I8231110A707924,11-10-2023,11:42:48,TP545HG10,547.415737,0.807129,49.823175,13.612651,42.169551,12.981303,999.30553,1000,24.77,25,0.21076,182.047917,21.237568,40,Isc-Voc,Linear IV,yes,0.001084,0.1654263,25.234188,25.375,,25775.82,Test report title,,,
TA10D0,22.40%,A707924,I8231110A707924,11-10-2023,11:43:23,TP545HG10,547.225126,0.805143,49.935428,13.610818,42.185972,12.971732,999.317819,1000,24.73,25,0.243972,202.901774,21.230173,40,Isc-Voc,Linear IV,yes,0.000692,0.1654284,25.234188,24.8125,,25775.82,Test report title,,,
TA10D0,22.40%,A6E0A38,I8231110A6E0A38,11-10-2023,11:46:35,TP540HG10,542.188532,0.802209,49.715226,13.594811,41.909051,12.937266,999.442392,1000,24.04,25,0.238804,146.414746,21.034773,40,Isc-Voc,Linear IV,yes,0.000968,0.165449,25.20315,24.875,,25775.82,Test report title,,,
TA10D0,22.40%,A74D854,I8231110A74D854,11-10-2023,11:48:56,6,0,0,0.447939,0.006658,0,0.006575,999.373267,1000,22.82,25,0.000495,243.022819,0,40,Isc-Voc,Linear IV,yes,0.000646,0.1654375,25.20315,25.1875,,25775.82,Test report title,,,
TA10D0,22.40%,A74D854,I8231110A74D854,11-10-2023,11:49:17,TP530HG10,534.031091,0.800208,49.759494,13.411819,41.785741,12.780223,999.556063,1000,23.17,25,0.265171,154.412365,20.718297,40,Isc-Voc,Linear IV,yes,0.000715,0.1654678,25.20315,24.5,,25775.82,Test report title,,,
TA10D0,22.40%,A74D854,I8231110A74D854,11-10-2023,11:49:28,TP530HG10,533.48022,0.800359,49.698254,13.411955,41.778726,12.769183,999.421187,1000,22.98,25,0.259375,170.354352,20.696925,40,Isc-Voc,Linear IV,yes,0.001245,0.1654455,25.141073,24.5625,,25775.82,Test report title,,,
