Cell(title),Comment(EFF),User,Ref,ID,Date,Time,Module type,Pmax,FF,Voc,Isc,Vpmax,Ipmax,Irr,CIrr,TMod,CTMod,Rs,Rsh,CellEff,ModEff,LTI,PN,ClassBin,MeasStat,MachStat
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A85F153,A85F153,02-01-2025,10:50:41,TP540HG10-8000011182,542.234,80.9347,50.101,13.372,42.388,12.792,1000,1000,23.4,25,0.2628,410.5866,NA,21.0413,0.0012,TP540HG10-8000011182,1,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8A31D7,A8A31D7,02-01-2025,10:52:51,TP540HG10-8000011182,544.901,81.1847,50.153,13.383,42.508,12.819,999.7,1000,23.5,25,0.2644,363.8273,NA,21.1448,0.0011,TP540HG10-8000011182,1,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C0FF3,A8C0FF3,02-01-2025,10:53:51,TP545HG10-8000011181,546.479,81.1374,50.006,13.469,42.435,12.878,999.7,1000,23.3,25,0.245,243.1307,NA,21.206,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD7D,A8BFD7D,02-01-2025,10:55:02,TP545HG10-8000011181,546.397,81.2361,50.014,13.448,42.492,12.859,999.7,1000,23.7,25,0.2482,230.0495,NA,21.2028,0.0014,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD88,A8BFD88,02-01-2025,10:55:32,TP545HG10-8000011181,546.239,80.8166,50.221,13.458,42.489,12.856,999.9,1000,23.5,25,0.2566,313.684,NA,21.1967,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD4F,A8BFD4F,02-01-2025,10:56:18,TP545HG10-8000011181,546.738,80.7573,50.254,13.472,42.562,12.846,999.8,1000,23.8,25,0.259,236.3329,NA,21.2161,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD7B,A8BFD7B,02-01-2025,10:56:47,TP540HG10-8000011182,543.785,80.7283,50.125,13.438,42.35,12.84,999.8,1000,23.7,25,0.2611,332.8824,NA,21.1015,0.0013,TP540HG10-8000011182,1,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD73,A8BFD73,02-01-2025,10:57:33,TP540HG10-8000011182,543.43,80.7244,50.036,13.454,42.366,12.827,999.8,1000,23.4,25,0.2521,211.189,NA,21.0877,0.0012,TP540HG10-8000011182,1,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD49,A8BFD49,02-01-2025,10:59:46,TP535HG10-8000011183,539.652,80.0474,50.185,13.434,42.207,12.786,999.7,1000,23.6,25,0.2741,309.6883,NA,20.9411,0.0011,TP535HG10-8000011183,4,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFCE8,A8BFCE8,02-01-2025,11:00:18,TP545HG10-8000011181,546.349,80.9529,50.236,13.435,42.52,12.849,999.8,1000,23.5,25,0.2628,225.4699,NA,21.201,0.0017,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C06C8,A8C06C8,02-01-2025,11:00:39,TP545HG10-8000011181,546.364,80.8981,50.231,13.445,42.523,12.849,999.9,1000,23.5,25,0.2591,202.3727,NA,21.2015,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C06CC,A8C06CC,02-01-2025,11:01:24,TP545HG10-8000011181,548.475,80.8687,50.509,13.428,42.737,12.834,999.8,1000,24.2,25,0.258,257.0597,NA,21.2835,0.0017,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C06C9,A8C06C9,02-01-2025,11:02:38,TP545HG10-8000011181,547.105,80.8026,50.404,13.433,42.643,12.83,999.7,1000,23.5,25,0.2619,254.4473,NA,21.2303,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C06DD,A8C06DD,02-01-2025,11:03:50,TP545HG10-8000011181,548.287,80.8502,50.528,13.421,42.766,12.821,999.7,1000,24.6,25,0.259,262.5752,NA,21.2762,0.0011,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD6F,A8BFD6F,02-01-2025,11:04:16,TP545HG10-8000011181,546.459,80.7705,50.336,13.441,42.577,12.835,999.9,1000,23.2,25,0.255,254.3034,NA,21.2052,0.0015,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD6D,A8BFD6D,02-01-2025,11:05:50,TP545HG10-8000011181,547.79,80.9796,50.407,13.42,42.705,12.827,999.7,1000,23.8,25,0.2556,277.7717,NA,21.2569,0.0016,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD89,A8BFD89,02-01-2025,11:06:29,TP545HG10-8000011181,546.795,80.8978,50.293,13.439,42.66,12.817,999.8,1000,23.5,25,0.2522,232.5624,NA,21.2183,0.0013,TP545HG10-8000011181,2,Ok,At Risk
